,Country,Year,Cases,Deaths,Rate
0,Afghanistan,2016,677,5,0.7
43,Angola,2016,78,3,3.8
76,Australia,2016,1,0,0
191,Benin,2016,761,13,1.7
288,Burundi,2016,434,5,1.2
408,Canada,2016,1,0,0
467,China,2016,27,0,0
525,Congo,2016,15,2,13.3
579,Democratic Republic of the Congo,2016,28093,759,2.7
618,Denmark,2016,1,0,0
640,Dominican Republic,2016,1159,27,2.3
761,Germany,2016,1,Unknown,Unknown
793,Ghana,2016,175,0,0
892,Haiti,2016,41421,447,1.1
911,India,2016,841,3,0.4
1059,Iraq,2016,3 5,0 0,0.0 0.0
1101,Japan,2016,10,0,0
1156,Kenya,2016,5866,80,1.4
1279,Malawi,2016,1792,46,2.6
1435,Mozambique,2016,883,2,0.2
1475,Myanmar,2016,782,11,1.4
1529,Nepal,2016,169,0,0
1564,Netherlands,2016,1,0,0
1606,Niger,2016,38,6,15.8
1636,Nigeria,2016,768,32,4.2
1732,Philippines,2016,124,0,0
1786,Republic of Korea,2016,4,0,0
1832,Rwanda,2016,355,0,0
1967,Somalia,2016,15619,548,3.5
2019,South Sudan,2016,4295,82,1.9
2110,Thailand,2016,52,1,1.9
2197,Uganda,2016,516,11,2.1
2236,United Kingdom of Great Britain and Northern Ireland,2016,19,0,0
2277,United Republic of Tanzania,2016,11360,172,1.5
2317,United States of America,2016,14,0,0
2404,Yemen,2016,15751,164,1
2445,Zimbabwe,2016,10,1,10
